"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"blizna";0,00560820992500336;0;0,0026656306433658;0;0;0,0039422131942597;0;0;0;0;0;0;0;0;0;0;0;0;0
"blizniak";0,00342007109172719;0;0;0;0;0;0;0;0,0451101043533831;0;0;0;0;0;0;0;0;0;0
"blona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0257772024876475;0;0,00792177442303314;0;0
"blyskawica";0;0;0,00325117869213572;0;0;0;0,00966645093286781;0;0;0;0;0;0;0;0;0;0;0;0
"bohater";0;0,00280962716054883;0;0,00281991130096079;0;0,00142561022839099;0;0;0,026749991924392;0;0;0;0;0;0;0,00891666397479733;0;0;0
"boi";0,000583701303166876;0,00121295770439273;0;0,00243479504058921;0;0,00123091414709284;0,00164976687770082;0,00187905651155077;0;0;0;0;0;0;0;0;0;0;0
"boisko";0,00228004739448479;0;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boja";0;0;0;0;0;0;0;0;0;0,00346260928938549;0,00308738356791215;0;0;0;0;0;0;0;0
"ból";0,00560820992500336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0061642708627834;0;0,0114290343893666;0
"bolec";0,00186940330833445;0;0;0;0;0,00197110659712985;0;0;0;0;0;0;0;0;0;0,0061642708627834;0;0;0
"boze";0;0;0,00225017769113472;0;0,00745169341473012;0;0,00223008681889245;0,00254003108863682;0;0;0;0;0;0;0;0;0;0;0
"bozonarodzeniowy";0,00228004739448479;0;0;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brac";0,000583701303166876;0,00121295770439273;0;0,00243479504058921;0;0,00123091414709284;0;0;0;0;0,00474229566365712;0;0;0;0;0;0,00405601222615227;0;0
"brakuje";0,000934701654167227;0;0;0;0;0,00197110659712985;0;0;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"brama";0;0;0;0;0,00358887018060065;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"brat";0,000934701654167227;0,00194235230687267;0;0;0;0;0;0;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"brata";0;0;0,00192792734590213;0;0;0;0,00191071370888514;0,00217627052944206;0;0,00205330428417508;0,00549239377915273;0;0;0;0;0;0;0;0
"bron";0;0;0;0;0;0;0;0,00300900001437563;0;0,00283898188989598;0;0;0;0;0;0;0,00649503661639617;0;0
"bronic";0,000505641485217965;0;0,00144201460599197;0;0;0;0,00142913947558133;0,00162776563998416;0;0,00153579167525158;0,00136936558116538;0;0;0;0;0;0,00702718337261454;0;0
"brown";0;0,00236902079755185;0;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budzic";0,00189189630045853;0,00157257842742709;0;0,00157833457101211;0,00119116299668649;0,000797929320504273;0,0021388938730184;0;0;0,0057462820469151;0,00102471721673125;0;0;0,0160895897313623;0;0;0;0;0
"butelka";0,0011400236972424;0;0,00975353607640716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"byc";0,0011400236972424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0139396030619896;0
"calowac";0;0,00163962619507191;0;0;0,00248389780491004;0;0;0,00254003108863682;0;0;0;0;0;0;0;0;0;0,0192955151368548;0
"caly";0,00255971047383177;0,00241781550956393;0,00132725728272759;0,00291199859175298;0,00219767407532297;0,00294433018233499;0,00263081354254932;0,00224733902617773;0;0,00212035718354721;0,00252077951605486;0;0;0;0;0;0,00161698783590836;0,00569068680448437;0
"cedrik";0,00684014218345437;0;0;0;0;0,0120204571185921;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrika";0,00798016588069677;0;0;0;0;0,0120204571185921;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedriku";0;0;0;0;0;0,00240409142371842;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"cel";0,000583701303166876;0,00363887311317818;0;0,00730438512176762;0,00183753040079826;0,00123091414709284;0;0;0;0;0;0;0,00784417458831334;0;0;0;0;0;0
"cenny";0,0011400236972424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0139396030619896;0
"centaur";0;0;0;0;0;0,00197110659712985;0;0,00902700004312688;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"ceremonia";0,0011400236972424;0;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cha";0,00570011848621198;0;0;0;0;0;0;0,0146798983658467;0;0;0;0;0;0;0;0;0;0;0
"chang";0,0011400236972424;0;0;0;0;0;0;0,00733994918292336;0;0;0;0;0;0;0;0;0;0;0
"charlak";0;0;0;0,00475538435350452;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"charlie";0,00280410496250168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0123285417255668;0;0,0114290343893666;0
"charliego";0,000789023346242045;0;0,00225017769113472;0;0;0;0;0;0;0;0;0;0;0;0;0,00520353591074904;0;0,00964775756842741;0
"chata";0,000789023346242045;0,00327925239014382;0;0;0;0,00166389897368141;0,00446017363778489;0;0;0;0;0;0;0;0;0;0;0;0
"chatka";0;0;0,00225017769113472;0;0,00248389780491004;0;0,00223008681889245;0;0,0312212154644942;0;0;0;0;0;0;0;0;0;0
"chcac";0,000583701303166876;0;0,00332925928472959;0,00730438512176762;0;0,00123091414709284;0;0;0,0230967362878115;0;0;0;0;0;0;0;0;0;0,00644560082450554
"chciec";0,000768673633278334;0,000798669285634563;0,00383625081793539;0,0056111487073462;0,00120991777967402;0,00364721699313282;0,00108628530813987;0,00123726055435592;0;0,0011673513759115;0,00260212830466964;0;0,00516497920096692;0;0;0,00126733285949651;0;0;0,00212204571822672
"chec";0;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0
"chetny";0,0011400236972424;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chlopak";0,00101128297043593;0;0;0,00210918388197069;0,00477537875597563;0,00319890286762246;0;0;0;0;0,00684682790582691;0;0;0;0;0;0;0,00618271498448919;0,011167229390589
"chlopca";0,00280410496250168;0;0,00799689193009739;0;0;0;0;0;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"chlopcu";0,000676026471939706;0;0,00192792734590213;0,00281991130096079;0;0,00142561022839099;0;0;0;0,00410660856835016;0;0;0;0;0;0;0;0;0
"chlopiec";0,000876045990483387;0;0,00499670676053488;0;0,00137892542921943;0,0110844782837328;0,00619011663414477;0;0,0173323265756054;0,00399123938201573;0;0;0,00294322526755563;0;0;0;0;0;0
"chociaz";0;0,00194235230687267;0;0;0;0,00197110659712985;0;0;0;0;0;0;0;0;0;0;0;0,0114290343893666;0
"chodzic";0;0;0;0,00243479504058921;0,00735012160319306;0,00123091414709284;0;0;0;0;0;0;0,00392208729415667;0;0,0131981350216066;0,00384945604796859;0;0;0
"chory";0,000934701654167227;0,00194235230687267;0;0,00389892388392742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chronic";0;0;0;0;0;0,00142561022839099;0;0;0;0;0;0;0;0,0287462599784511;0;0,00445833198739866;0,0046975595574542;0;0,00746511402541172
"chrzestny";0,00236707003872613;0,00327925239014382;0;0;0;0;0,00446017363778489;0,00508006217727364;0;0;0;0;0;0;0;0;0;0;0
"chwila";0,00252820742608982;0,00840596698109982;0;0;0;0;0,00428741842674399;0;0;0,00307158335050316;0,00273873116233076;0;0,0101927305994291;0;0;0,0100039763290693;0;0;0
"chwile";0,00505641485217965;0,00315223761791243;0,00144201460599197;0,00210918388197069;0;0;0,00142913947558133;0;0;0;0,00273873116233076;0;0;0;0;0,00333465877635644;0;0;0
"chyba";0,0011400236972424;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciagly";0;0;0;0;0;0,00166389897368141;0;0,00254003108863682;0;0,00239651120836203;0,00213681322570683;0;0;0;0;0;0;0;0
"cialo";0,00175209198096677;0,000910231592591966;0;0,00182712666682809;0,00137892542921943;0;0;0,00141008758581196;0;0,00133041312733858;0,00355872865050452;0;0;0;0;0;0;0,00535591207486517;0
"ciaza";0;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0,0158435488460663;0;0
"cichu";0,0011400236972424;0;0;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciemnosc";0;0;0;0;0;0,0039422131942597;0;0;0;0;0,00506267112684872;0;0,0125611557203888;0;0;0;0;0;0
"ciemny";0,00186940330833445;0;0;0;0;0;0,00528366073952863;0;0;0;0;0;0;0;0,0211346429581145;0;0;0;0
"cierpiec";0;0;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0
"cieszyc";0;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0
"ciezki";0;0,00140481358027442;0;0,00281991130096079;0;0;0;0,00217627052944206;0;0;0,00183079792638424;0;0;0;0;0;0;0,008266091925134;0
"ciocia";0;0;0;0;0;0,00240409142371842;0;0;0;0;0;0,0492110229309634;0;0;0;0;0;0;0
"ciotka";0,000676026471939706;0;0;0;0;0,00142561022839099;0,00382142741777028;0,00217627052944206;0;0;0;0;0;0;0;0;0,0046975595574542;0;0
"cmentarz";0,00456009478896958;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"codzienny";0,00315609338496818;0,00327925239014382;0;0;0;0;0;0;0;0;0;0;0,00530171583359336;0;0;0;0,00548275003278923;0;0
"cofac";0;0;0;0;0;0,00961636569487368;0;0;0;0;0;0;0,0076602063996311;0;0;0;0;0;0
"cofnac";0;0;0;0;0;0,0120204571185921;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"colin";0;0,00236902079755185;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"córka";0;0,00280962716054883;0;0;0;0,00570244091356395;0;0;0;0;0,00183079792638424;0;0;0;0;0;0,0046975595574542;0,008266091925134;0
"crabbea";0;0,00236902079755185;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"crabbeem";0;0;0;0,00475538435350452;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"creevey";0;0,00236902079755185;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cross";0;0,00105074587263748;0,00144201460599197;0,00210918388197069;0,00159179291865854;0,00106630095587415;0,00142913947558133;0,00162776563998416;0;0;0;0;0;0;0;0;0;0;0
"cruciatus";0,000789023346242045;0,00163962619507191;0;0;0,00248389780491004;0,00166389897368141;0;0;0;0;0;0;0;0;0;0;0;0;0
"cudem";0;0;0,00325117869213572;0;0;0;0;0;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"cudowny";0;0;0;0;0;0;0;0;0;0;0;0;0,0076602063996311;0;0;0;0;0;0,0125888663311767
"cullen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0246570834511336;0;0,0228580687787333;0,0103215698167536
"cullenów";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0061642708627834;0,0194851098491885;0;0,0103215698167536
"cullenowie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0194851098491885;0,0114290343893666;0,0206431396335072
"cwiczyc";0;0;0;0;0;0;0,00322215031095594;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"czara";0,0011400236972424;0,0047380415951037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarna";0,000876045990483387;0,0054613895555518;0,00124917669013372;0,00182712666682809;0,00275785085843886;0,0018474130472888;0,00123802332682895;0,0070504379290598;0;0;0;0;0;0;0;0;0;0;0
"czarnoksieznik";0;0;0,00650235738427144;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarny";0,00303384891130779;0,00315223761791243;0;0;0,00159179291865854;0,00426520382349661;0,00428741842674399;0,00162776563998416;0;0,00307158335050316;0;0;0;0;0;0;0;0;0
"czarodziej";0,012864894843118;0,00157257842742709;0,00431632637437947;0,00157833457101211;0,00119116299668649;0,00478757592302564;0,0032083408095276;0;0;0;0;0;0,0127122937735999;0,0160895897313623;0;0;0;0;0
"czarodziejski";0;0;0,00325117869213572;0,00951076870700904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarownica";0,00101128297043593;0;0;0;0;0,00106630095587415;0;0,00162776563998416;0;0,00307158335050316;0,0369728706914653;0;0;0,0215010834535221;0,0571655790232532;0;0;0;0
"czary";0,00552316342369431;0,00163962619507191;0;0;0;0;0;0,00254003108863682;0;0;0,00213681322570683;0;0;0;0;0;0;0;0
"czas";0,00123712907374091;0,00128540508063014;0,00308709523493681;0,00322527519316238;0,000973641085935871;0,00880492965760288;0,00262245590110703;0,0014934664114779;0;0,0018787743769125;0,00125638571688018;0;0,00207817260087727;0;0;0,00509921980770812;0,00214913459212674;0,00567260847278088;0
"czasów";0;0;0;0;0;0,00721227427115526;0;0;0,0451101043533831;0;0;0;0;0;0;0;0;0;0
"czego";0,000676026471939706;0,00280962716054883;0;0;0;0;0,00191071370888514;0;0;0,00205330428417508;0;0;0,00454245145885902;0;0;0;0;0;0
"czegos";0;0;0,00650235738427144;0;0;0;0;0;0;0;0,00617476713582431;0;0;0;0;0;0;0;0
"czekac";0,00131406898572508;0,000910231592591966;0,00499670676053488;0;0;0;0,00371406998048686;0;0,0173323265756054;0,00133041312733858;0,00474497153400603;0;0;0;0;0;0,00304372564254533;0;0
"czemu";0;0;0,00650235738427144;0;0;0;0;0;0;0;0,00617476713582431;0;0;0;0;0;0;0;0
"czerwony";0,0011400236972424;0;0;0;0;0;0;0;0;0,00692521857877097;0;0;0;0;0;0;0;0;0
"czesc";0,00135205294387941;0;0;0;0;0,00570244091356395;0;0,00217627052944206;0;0;0;0;0;0,0574925199569022;0;0;0;0;0,0149302280508234
"czlonek";0,000789023346242045;0,00655850478028763;0;0;0;0;0;0,00254003108863682;0;0;0;0;0,00530171583359336;0;0;0;0;0;0
"czlowiek";0,00202807941581912;0;0,00192792734590213;0;0;0;0;0;0;0;0,00366159585276848;0;0;0;0;0,00445833198739866;0;0;0,00746511402541172
"czolo";0,0011400236972424;0;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czterech";0;0;0;0;0;0;0;0;0;0;0,00308738356791215;0;0,0076602063996311;0;0;0;0;0;0
"cztery";0,00157804669248409;0;0,00225017769113472;0;0;0;0;0;0;0;0,00213681322570683;0;0;0;0;0,00520353591074904;0;0;0
"czuc";0,000789023346242045;0;0;0;0;0,00166389897368141;0;0;0;0,00479302241672406;0;0;0,00530171583359336;0;0;0;0;0;0
"czuj";0,000789023346242045;0;0;0;0;0,00166389897368141;0;0;0;0;0;0;0;0;0;0;0,00548275003278923;0,00964775756842741;0
"czwarty";0,0011400236972424;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"czwórka";0,00186940330833445;0;0;0;0;0,0039422131942597;0;0;0;0;0;0;0;0;0;0;0;0;0,0103215698167536
"czym";0,00151692445565389;0,00210149174527495;0;0;0,00318358583731709;0;0;0,00162776563998416;0;0;0,00410809674349615;0;0;0,0215010834535221;0;0;0,00351359168630727;0;0
"czyms";0,000934701654167227;0;0;0;0;0;0;0,00300900001437563;0;0;0;0;0,00628057786019441;0;0;0;0;0;0
"czynic";0;0;0,00325117869213572;0;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"czytac";0;0,00491887858521572;0;0;0,00248389780491004;0;0;0;0;0,00239651120836203;0;0;0;0;0;0;0;0;0,00871289733892863
"dac";0,000438022995241694;0,00364092637036786;0,00249835338026744;0,00548138000048427;0,00137892542921943;0,0018474130472888;0;0;0;0;0,00237248576700301;0;0,00294322526755563;0;0;0;0;0;0
"dalej";0,00175110390950063;0,00121295770439273;0,00832314821182397;0;0;0;0;0;0;0,0070915352354901;0,00316153044243808;0;0,00392208729415667;0;0;0;0;0;0
"daleki";0,0011400236972424;0;0;0;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"dalszy";0,000676026471939706;0,00140481358027442;0;0;0;0,00142561022839099;0;0;0;0,00205330428417508;0;0;0;0;0;0;0;0;0,00746511402541172
"data";0,0011400236972424;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"dawac";0,00101128297043593;0,00525372936318739;0,00288402921198395;0;0,00159179291865854;0;0,00142913947558133;0,00488329691995248;0;0;0;0;0;0;0;0;0;0,00618271498448919;0
"dawny";0,0011400236972424;0;0;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"deana";0;0,00710706239265555;0;0;0,0143554807224026;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"decydowac";0,000583701303166876;0,00121295770439273;0;0;0,00551259120239479;0;0;0;0;0,00177288380887253;0;0;0;0;0;0,00384945604796859;0;0;0,0128912016490111
"decyzja";0,00157804669248409;0;0;0;0;0,00166389897368141;0,00223008681889245;0;0;0;0;0;0;0;0;0;0;0,00964775756842741;0
"dementora";0,0011400236972424;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"dementorami";0;0,00236902079755185;0;0;0;0;0,00644430062191188;0;0;0;0;0;0;0;0;0;0;0;0
"dementorów";0;0,00163962619507191;0;0;0,00248389780491004;0;0,00892034727556978;0,00254003108863682;0;0;0;0;0;0;0;0;0;0;0
"dementorzy";0;0,00194235230687267;0;0;0;0,0039422131942597;0,0105673214790573;0;0;0;0;0;0;0;0;0;0;0;0
"departament";0,00157804669248409;0;0;0;0,00248389780491004;0,00332779794736282;0;0,00762009326591046;0;0;0;0;0;0;0;0;0;0;0
"deszcz";0,000789023346242045;0,00163962619507191;0;0,0032912555101663;0;0;0;0;0;0;0,00213681322570683;0;0;0;0;0;0;0;0
"diggory";0,00342007109172719;0;0;0;0;0,00480818284743684;0;0;0;0;0;0;0;0;0;0;0;0;0
"diggoryego";0,00342007109172719;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"dlaczego";0,0011400236972424;0;0,00975353607640716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
